0  10.651
1  1.56101
2  9.68214
3  19.4049
4  89.5083
5  65.165
6  9.91119
7  11.7266
8  10.804
9  12.9565
10  34.5868
11  12.7825
12  43.9687
13  12.2684
14  12.8625
15  52.2678
16  36.5265
17  12.4439
18  14.8977
19  14.0994
20  66.454
21  -4.55664
22  14.8329
23  14.0309
24  14.7518
25  40.9068
26  16.5913
27  19.1698
28  16.5073
29  40.9182
30  39.816
31  31.2126
32  45.3306
33  26.8842
34  41.2845
35  64.546
36  17.4291
37  49.2456
38  16.8829
39  24.94
40  38.2197
41  18.5139
42  19.7329
43  20.3187
44  55.8101
45  19.0655
46  49.2691
47  19.2275
48  57.3968
49  82.4991
50  20.7206
51  20.973
52  20.1384
53  20.0697
54  19.7264
55  62.7279
56  50.9803
57  20.1575
58  22.1059
59  20.8139
60  15.4368
61  24.7709
62  22.2107
63  31.7205
64  49.2869
65  21.7858
66  11.352
67  30.7615
68  22.9807
69  34.004
70  62.4176
71  21.3227
72  26.0094
73  22.3022
74  43.3978
75  50.2047
76  32.688
77  27.0923
78  46.5755
79  59.9676
80  26.1829
81  65.5168
82  44.5499
83  48.3665
84  25.7951
85  42.0356
86  28.9001
87  37.2196
88  60.0126
89  29.2995
90  18.8186
91  -19.9116
92  19.3627
93  39.355
94  39.5045
95  18.9369
96  4.89333
97  11.2289
98  20.0341
99  20.0418
100  -7.8088
